id,name,property_type,room_type,accommodates,bathrooms,bedrooms,price,extra_people,minimum_nights,number_of_reviews,review_scores_rating,cancellation_policy,reviews_per_month
7438473,Cozy Embassy Row Studio near Dupont,Apartment,Entire home/apt,2,1,0,75.00,0.00,1,3,100,flexible,0.14
13049412,CENTRAL LOCATION/PRIVATE CONDO ADMO,Apartment,Entire home/apt,3,1,1,168.00,0.00,1,8,88,strict,0.68
15989188,Beautiful private bed/bathroom + balcony downtown,Apartment,Private room,2,1,1,80.00,0.00,1,5,96,moderate,0.96
2051534,Sunny Dupont Circle Share,Apartment,Shared room,1,1,1,90.00,0.00,1,113,96,flexible,2.73
9313238,Newly renovated condo in Kalorama,Condominium,Shared room,1,1,1,50.00,0.00,3,0,,flexible,
8383735,Private room in Adams Morgan,Apartment,Private room,2,1,1,65.00,25.00,1,5,84,flexible,0.29
3781579,Spacious 1 Bedroom - Dupont Circle ,Apartment,Entire home/apt,2,2,1,115.00,0.00,2,0,,flexible,
1646405,One Double size bed in living room,Apartment,Shared room,2,1,1,42.00,10.00,1,110,92,strict,2.54
17571795,VERY COMFORTABLE COUCH in Livng Room,Apartment,Shared room,1,1,1,30.00,0.00,2,0,,moderate,
2053406,Sleeping Loft in 2BR near U Street,Apartment,Shared room,1,1,1,100.00,0.00,3,1,100,strict,0.03
3882512,Shared space-Futon in Living Room,Apartment,Shared room,2,1,1,60.00,30.00,2,0,,strict,
14946743,1 Bed in Female-Only Hostel Dorm Room!,Guesthouse,Shared room,1,1,1,44.00,0.00,1,5,100,flexible,0.95
16156966,Charming apartment in the hearth of Adams Morgan,Apartment,Entire home/apt,2,1,1,135.00,0.00,30,0,,strict,
1999294,Spacious 1 bedroom in Adams Morgan,Apartment,Entire home/apt,2,1.5,1,154.00,0.00,30,0,,strict,
16157469,"High-end, designer finishes, 1 br/1 ba in Dupont",Apartment,Entire home/apt,2,1,1,160.00,0.00,30,0,,strict,
15964061,Beautiful bedroom with a private bathroom & patio,Apartment,Private room,2,1,1,95.00,0.00,3,1,100,strict,0.28
1806966,Large Studio in Adams Morgan,Apartment,Entire home/apt,2,1,0,150.00,0.00,1,4,90,flexible,0.6
16619804,Large 1BD beautiful apt in Kalorama,Apartment,Entire home/apt,3,1,1,1000.00,0.00,1,0,,moderate,
