id,name,property_type,room_type,accommodates,bathrooms,bedrooms,price,extra_people,minimum_nights,number_of_reviews,review_scores_rating,cancellation_policy,reviews_per_month,price_gt_500
18331461,Sunny & Central Logan/Shaw Apt.,Apartment,Private room,2,1,1,109,0,1,2,100,flexible,2,FALSE
16791288,4-BR house walking distance from the White House,House,Entire home/apt,10,2,4,1e3,25,2,0,NA,moderate,NA,TRUE
14692312,2BR House @PRIME Location w/PARKING!,Townhouse,Entire home/apt,6,1,2,199,0,1,22,65,strict,2.55,FALSE
13278515,"Luxury, sunny, 1bd/1ba close to everything",Apartment,Entire home/apt,4,1,1,199,20,1,29,92,strict,2.86,FALSE
14692091,4BR House in HOTTEST AREA WITH PARKING!,Townhouse,Entire home/apt,8,2,4,299,0,1,22,77,strict,2.64,FALSE
15511188,"Modern, Convenient, DC Retreat.",Apartment,Entire home/apt,4,1,1,175,10,1,49,98,moderate,7.17,FALSE
16202475,Charming Bedroom in Historic Logan Circle Rowhouse,Apartment,Entire home/apt,4,2,1,75,35,1,1,100,moderate,0.27,FALSE
17542741,Entire apartment for home away from home,Apartment,Entire home/apt,7,1,2,200,8,1,5,95,moderate,2.59,FALSE
12856566,Perfectly located chill house-Main,House,Private room,2,1,1,99,20,1,6,93,strict,0.5,FALSE
16395494,"White Glove in the heart of Washington, DC",House,Private room,1,1,1,117,0,1,22,96,strict,5.32,FALSE
15113422,Rare Detached Home in Downtown DC-Walk Everywhere!,House,Entire home/apt,8,2.5,3,950,0,3,9,89,strict,1.42,TRUE
17640610,Charming & Convenient Shaw Townhouse - Red Room,House,Private room,3,1,1,110,50,2,2,100,moderate,1.67,FALSE
16100501,Spacious 2BR/2BA Corner Unit in Logan- Central DC!,Condominium,Entire home/apt,3,2,2,800,0,1,2,100,flexible,0.36,TRUE
13020279,Gorgeous 2B2B apt at Logan Circle,Apartment,Private room,2,1.5,1,110,20,2,7,97,flexible,0.59,FALSE
13316705,"Sunny, business-ready apt in Logan Circle/downtown",Apartment,Entire home/apt,2,1,1,149,0,1,27,98,strict,2.43,FALSE
16724558,Inauguration Weekend Getaway,House,Private room,3,1,1,55,0,1,1,100,flexible,0.26,FALSE
13513245,Relaxed Private Bedroom Near Conv. Center/U St.,Apartment,Private room,2,1,1,59,15,1,5,100,moderate,0.48,FALSE
7614937,Modern DuPont Studio #301,Apartment,Entire home/apt,2,1,0,112,0,1,109,94,strict,5.13,FALSE
9318545,3Beds 2baths /Metro& park,Townhouse,Entire home/apt,8,2,3,239,0,2,91,92,strict,5.68,FALSE
12251710,Sunny One Bedroom in Logan Circle,Apartment,Entire home/apt,2,1,1,95,0,1,10,92,moderate,0.88,FALSE
13281803,"Spacious, light-drenched entire home in hip Shaw",Apartment,Entire home/apt,6,2,2,145,5,2,4,100,moderate,1.22,FALSE
15804925,Luxury 2BR Walking Distances to Convention Center,Apartment,Entire home/apt,5,1,2,190,30,2,11,100,strict,1.85,FALSE
16708345,Charming 1 BR--Walking Distance to White House,Apartment,Entire home/apt,4,1,1,350,0,1,1,100,moderate,0.27,FALSE
13479465,Apartment in the heart of 14th & Logan Circle,Apartment,Entire home/apt,5,1,2,150,0,2,1,100,strict,0.75,FALSE
1813962,DC-Logan Circle/14th St - Large 1BD,Apartment,Entire home/apt,2,1,1,130,0,1,23,95,strict,0.55,FALSE
6334856,Downtown Urban Retreat,Condominium,Private room,1,1,1,150,50,1,12,100,strict,1.63,FALSE
